,text_clean,text_preprocessed,Polarity
322,baru iklan ini yg ga gue skip,"['iklan', 'yg', 'ga', 'gue', 'skip']",Netral
323,aku terhibur kalau iklannya kayak gini,"['hibur', 'iklan', 'kayak', 'gin']",Netral
324,luar biasa kocaknya,['kocak'],Positif
325,cuma gojek yg bisa bikin seorang ariel jadi receh begini hahahaha,"['gojek', 'yg', 'bikin', 'ariel', 'receh', 'hahahaha']",Positif
326,gokil,['gokil'],Negatif
327,gokilllll abieeeezzzzzzz,"['gokilllll', 'abieeeezzzzzzz']",Netral
328,keren pokoknya,"['keren', 'pokok']",Positif
329,iklan paling menarik sepanjang sejarah emang mahal nih orang,"['iklan', 'tarik', 'sejarah', 'emang', 'mahal', 'nih', 'orang']",Negatif
330,lucu pisan,"['lucu', 'pis']",Positif
331,iklan kok ditonton tapi iklan ini lucu dan pak ariel nya juga lucu,"['iklan', 'tonton', 'iklan', 'lucu', 'ariel', 'nya', 'lucu']",Positif
332,keren sihh ini iklan terkereenn,"['keren', 'sihh', 'iklan', 'terkereenn']",Positif
333,baru kali ini liat iklan gak mau di skip,"['kali', 'liat', 'iklan', 'gak', 'skip']",Netral
334,kreatif bgt gosend bikin iklanbtw yg jadi bintang iklan nya mirip ariel ya,"['kreatif', 'bgt', 'gosend', 'bikin', 'iklanbtw', 'yg', 'bintang', 'iklan', 'nya', 'ariel', 'ya']",Positif
335,keren sumpah,"['keren', 'sumpah']",Positif
336,kangen konser yak ampe beneran gabut begini  hatihati ini para pelawak nambah saingan,"['kangen', 'konser', 'yak', 'ampe', 'beneran', 'gabut', 'hatihati', 'lawak', 'nambah', 'saing']",Positif
337,biasanya lihat iklan tu langsung skip tapi yg ini ko betah yaa sampe tuntas,"['lihat', 'iklan', 'tu', 'langsung', 'skip', 'yg', 'ko', 'betah', 'yaa', 'sampe', 'tuntas']",Positif
338,gojek tokopedia,"['gojek', 'tokopedia']",Netral
339,tf is this  never thought ariel would do something like this,"['tf', 'is', 'this', 'never', 'thought', 'ariel', 'would', 'do', 'something', 'like', 'this']",Netral
340,kreatif,['kreatif'],Positif
341,bagus nih iklan sutradaranya top,"['bagus', 'nih', 'iklan', 'sutradara', 'top']",Positif
342,karena sepatuuhh aaakuuuu diiisiniiii,"['sepatuuhh', 'aaakuuuu', 'diiisiniiii']",Netral
343,jokes bapak bapak bgt ya allah bor,"['jokes', 'bgt', 'ya', 'allah', 'bor']",Positif
344,keren gojek dan ariel noah salam dr bogor kang hendi channel,"['keren', 'gojek', 'ariel', 'noah', 'salam', 'dr', 'bogor', 'kang', 'hendi', 'channel']",Positif
345,hahaha creatipppp beut,"['hahaha', 'creatipppp', 'beut']",Positif
346,mantap iklan nya bagus banget,"['mantap', 'iklan', 'nya', 'bagus', 'banget']",Positif
347,real arielhehe  keren dan menghibur,"['real', 'arielhehe', 'keren', 'hibur']",Positif
348,gojek cuman berfokus sama kesejahteraan costumer sedangkan untuk driver malah sebaliknya,"['gojek', 'cuman', 'fokus', 'sejahtera', 'costumer', 'driver']",Netral
349,keren banget,"['keren', 'banget']",Positif
350,ngakak gue  lucu sekali,"['ngakak', 'gue', 'lucu']",Positif
351,dilanjut iklannya itu kan boril mau kluar nungguin sepatu dlu stelah itu boril mau kluar eh tiba hujan mau bawa mobil tapi mobilnya baru banget dicuci sayang klo kotor lagi nah disitu munculah ide untuk pesan gocar,"['lanjut', 'iklan', 'boril', 'kluar', 'nungguin', 'sepatu', 'dlu', 'stelah', 'boril', 'kluar', 'eh', 'hujan', 'bawa', 'mobil', 'mobil', 'banget', 'cuci', 'sayang', 'klo', 'kotor', 'situ', 'munculah', 'ide', 'pesan', 'gocar']",Negatif
352,lucu bgt,"['lucu', 'bgt']",Positif
353,hahahaha bang ariel nih bisa aeee wkwk kerren,"['hahahaha', 'bang', 'ariel', 'nih', 'aeee', 'wkwk', 'kerren']",Positif
354,dari tahun  saya jadi driver gosend lama lelah juga jarak pengantaran antar kota antar propinsi,"['driver', 'gosend', 'lelah', 'jarak', 'antar', 'kota', 'propinsi']",Negatif
355,baru pertama liat iklan dg ikhlas,"['liat', 'iklan', 'dg', 'ikhlas']",Positif
356,luar biasaaaa,['biasaaaa'],Positif
357,mantul iklannya ariel noah,"['mantul', 'iklan', 'ariel', 'noah']",Positif
358,hh lucu juga  padahal cuma iklan tp gw puter berkali knp y,"['hh', 'lucu', 'iklan', 'tp', 'gw', 'puter', 'kali', 'knp', 'y']",Positif
359,gue ulang terusssssss ngakak,"['gue', 'ulang', 'terusssssss', 'ngakak']",Positif
360,biyasanya klo ada iklan langsung aq skip tp klo ini mlh w puter ulang  kali njirrrr,"['biyasanya', 'klo', 'iklan', 'langsung', 'aq', 'skip', 'tp', 'klo', 'mlh', 'w', 'puter', 'ulang', 'kali', 'njirrrr']",Negatif
361,kreatif keren,"['kreatif', 'keren']",Positif
362,gokillllgo kilatt,"['gokillllgo', 'kilatt']",Netral
363,keren idola,"['keren', 'idola']",Positif
364,pengen bungkus mas ariel terus aku bawa pulang,"['ken', 'bungkus', 'mas', 'ariel', 'bawa', 'pulang']",Netral
365,nih iklan gurih bener kayak bumbu indomie goreng,"['nih', 'iklan', 'gurih', 'bener', 'kayak', 'bumbu', 'indomie', 'goreng']",Positif
366,walaaahhkocaaak pisan,"['walaaahhkocaaak', 'pis']",Netral
367,buahahaha nungguin paket dateng udah kyak nungguin istri pulang dari pasar,"['buahahaha', 'nungguin', 'paket', 'dateng', 'udah', 'kyak', 'nungguin', 'istri', 'pulang', 'pasar']",Netral
368,marketing gojek pintar kali abang ini,"['marketing', 'gojek', 'pintar', 'kali', 'abang']",Positif
369,karen banget a boriel,"['karen', 'banget', 'a', 'boriel']",Positif
370,mantap untuk abang ariel,"['mantap', 'abang', 'ariel']",Positif
371,gokil bgt konsepny wkwkwlw,"['gokil', 'bgt', 'konsepny', 'wkwkwlw']",Positif
372,sebelum meluncur iklan di tv ini mh udah keburu trending di youtoubawokawokjosss boriiielkerrrenn,"['luncur', 'iklan', 'tv', 'mh', 'udah', 'keburu', 'trending', 'youtoubawokawokjosss', 'boriiielkerrrenn']",Netral
373,mantap banget ka,"['mantap', 'banget', 'ka']",Positif
374,anjir antara serius dan gak serius nih nonton harus  kali,"['anjir', 'serius', 'gak', 'serius', 'nih', 'nonton', 'kali']",Negatif
375,first time to see boriels house,"['first', 'time', 'to', 'see', 'boriels', 'house']",Positif
376,kalau disetiap iklan ariel disuruh ngelawak lamalama ariel ganti profesi ini,"['tiap', 'iklan', 'ariel', 'suruh', 'ngelawak', 'lamalama', 'ariel', 'ganti', 'profesi']",Netral
377,bgus bnget suarany,"['bgus', 'bnget', 'suarany']",Positif
378,good one,"['good', 'one']",Positif
379,cuma iklan ini doang yg gw liat ampe abisss,"['iklan', 'doang', 'yg', 'gw', 'liat', 'ampe', 'abisss']",Netral
380,ngakak keren,"['ngakak', 'keren']",Positif
381,keren nih iklan nya mantap,"['keren', 'nih', 'iklan', 'nya', 'mantap']",Positif
382,kenapa gak jadi aktor film ya padahal actingnya natural,"['gak', 'aktor', 'film', 'ya', 'actingnya', 'natural']",Positif
383,gergaji  gaji yg lebih ger  kalau aku stuck di kamu aa borill,"['gergaji', 'gaji', 'yg', 'ger', 'stuck', 'aa', 'borill']",Netral
384,kerennnnnn betzz,"['kerennnnnn', 'betzz']",Netral
385,haha mantap iklannya kang bor,"['haha', 'mantap', 'iklan', 'kang', 'bor']",Positif
386,iklan aja udah naik  jt penonton nih keren bang boriel,"['iklan', 'aja', 'udah', 'jt', 'tonton', 'nih', 'keren', 'bang', 'boriel']",Positif
387,iri nggairilah masa ngga ngakak,"['iri', 'nggairilah', 'ngga', 'ngakak']",Positif
388,aku menunggumu iya aku menunggumu paket dari gosend hahaha,"['tunggu', 'iya', 'tunggu', 'paket', 'gosend', 'hahaha']",Positif
389,karena sepatu aku disini,['sepatu'],Netral
390,nominasi iklan terbaik nih,"['nominasi', 'iklan', 'baik', 'nih']",Positif
391,karna sepatu aku disini njir lirik nya keren,"['karna', 'sepatu', 'njir', 'lirik', 'nya', 'keren']",Positif
392,kren bang bor lanjutt lah,"['kren', 'bang', 'bor', 'lanjutt']",Netral
393,njiss alus si boriel apa aja cocok dia mah yaserba bisa saluttt,"['njiss', 'alus', 'si', 'boriel', 'aja', 'cocok', 'mah', 'yaserba', 'saluttt']",Positif
394,kaarena seepaaaatuuu aaaaakuuuu diiii siiniiiiiibeliau luar biasa,"['kaarena', 'seepaaaatuuu', 'aaaaakuuuu', 'diiii', 'siiniiiiiibeliau']",Positif
395,edaaannn iklannya udah kyak short movie comedy hahaha,"['edaaannn', 'iklan', 'udah', 'kyak', 'short', 'movie', 'comedy', 'hahaha']",Positif
396,hahahaha ariel mantap,"['hahahaha', 'ariel', 'mantap']",Positif
